Name,Federation,FideID,B_Year,Gender,Title
"Cuberli, Emiliano ",Argentina,114871,1990,Male,None
"Elman, Cristian ",Argentina,114910,1970,Male,None
"Farias, Guillermo Alejandro ",Argentina,114952,1987,Male,None
"Kovalyov, Anton ",Canada,114987,1992,Male,Grandmaster
"Cisneros, German ",Argentina,115126, ,Male,None
"Luvotti, Damian ",Argentina,115134, ,Male,None
"Ruperez, Miguel ",Argentina,115177,1984,Male,Candidate Master
"Pineiro, Dario ",Argentina,115215,1995,Male,None
"Axarlian, Carlos ",Argentina,115266,1980,Male,None
"Goncalves, Claudio Javier ",Argentina,115320,1962,Male,None
"Slomka, Gustavo ",Argentina,115339,1969,Male,None
"Vallejos, Lucas ",Argentina,115380,1987,Male,None
"Flynn, Mariano ",Argentina,115452, ,Male,None
"Panelo Munoz, Marcelo A. ",Argentina,115479,1973,Male,None
"Raineri De Luca, Pablo ",Argentina,115495,1977,Male,None
"Bracco, Facundo ",Argentina,115525,1992,Male,None
"Carcamo, Matias ",Argentina,115541,1991,Male,None
"Garcia Quiroga, Maximiliano ",Argentina,115592, ,Male,None
"Romero, Fabian ",Argentina,115649,1971,Male,None
"Tumini, Leandro ",Argentina,115665, ,Male,None
"Bernal, Lucas ",Argentina,115703,1986,Male,None
"Di Muro, Matias ",Argentina,115746,1991,Male,None
"Fiora, Emilio ",Argentina,115762,1996,Male,None
"Llorens, Silvio Andres ",Argentina,115924,1988,Male,Candidate Master
"Sanchez, Christian ",Argentina,116009,1972,Male,None
"Bramajo, Renzo ",Argentina,116017,1991,Male,None
"Fabian, Gaston ",Argentina,116262,1995,Male,FIDE Master
"Gomez Martinez, Juan Carlos ",Argentina,116300,1972,Male,None
"Herrera, Solange ",Argentina,116360,1995,Female,None
"Colautti, Marcela ",Argentina,116440,1984,Female,None
"Fernandez, Maria Florencia ",Argentina,116459,1991,Female,Woman Intl. Master
"Catelli, Hernan ",Argentina,116483,1989,Male,Candidate Master
"Figueroa, Jose Leonardo ",Argentina,116491,1962,Male,None
"Gallego, Gonzalo ",Argentina,116505,1990,Male,None
"Ortiz, Andres ",Argentina,116530,1975,Male,None
"Pereyra, Juan ",Argentina,116548,1986,Male,FIDE Master
"Ravier, Osvaldo ",Argentina,116556, ,Male,None
"Echeverria D`Angelo, Nestor ",Spain,116572,1974,Male,None
"Paniagua Chnelik, Sebastian ",Argentina,116602, ,Male,None
"Bruno, Gerardo ",Argentina,116637,1968,Male,None
"Pradines, Emmanuel ",Argentina,116688,1993,Male,None
"Spector, Sebastian ",Argentina,116734,1993,Male,Candidate Master
"Yakisich, Marcelo ",Argentina,116742,1973,Male,None
"Fell, Sebastian ",Argentina,116777,1989,Male,FIDE Master
"Heinecke, Victor ",Argentina,116785,1969,Male,None
"Krysa, Leandro ",Argentina,116807,1992,Male,Grandmaster
"Sanhueza, Cristian ",Argentina,116815,1985,Male,FIDE Master
"Balzano, Ivan ",Argentina,116831,1989,Male,None
"Parma, Pamela ",Argentina,116904,1987,Female,None
"Valli, Americo ",Argentina,117005,1946,Male,None
"Videla, Gaston ",Argentina,117013,1972,Male,None
"Tomeo, Nicolas ",Argentina,117021,1990,Male,None
"Bilbao, Guillermo ",Argentina,117048, ,Male,None
"Goyeneche, Roberto ",Argentina,117110,1968,Male,None
"Lallana, Daniel ",Argentina,117129,1954,Male,Candidate Master
"Perez, Maximiliano ",Argentina,117234,1992,Male,International Master
"Charaf, Leonardo ",Argentina,117293,1989,Male,None
"Jabie, Rafael ",Argentina,117366,1963,Male,None
"Tokman, Ariel ",Argentina,117420,1992,Male,FIDE Master
"Cavadini, Ignacio ",Argentina,117480,1986,Male,None
"Condino, Gabriel ",Argentina,117498,1989,Male,None
"Mavrich, Demian ",Argentina,117536,1990,Male,None
"Ocampos, Ian ",Argentina,117544,1995,Male,None
"Battan, Adrian ",Argentina,117676, ,Male,None
"Caceres Recalde, Gonzalo ",Argentina,117684,2000,Male,None
"Cirulli, Diego ",Argentina,117692, ,Male,None
"Franco, Gaston ",Argentina,117722,1990,Male,None
"Hernandez, Luis Crisanto ",Argentina,117757,1972,Male,None
"Perez Ponsa, Federico ",Argentina,117927,1993,Male,Grandmaster
"Sanz, Luis ",Argentina,117935,1980,Male,None
"Calens, Diego ",Argentina,117951,1980,Male,None
"Epelboim, Matias ",Argentina,118044,1983,Male,None
"Paz, Martin ",Argentina,118184,1997,Male,None
